brand_id,brand_name,type,dosage_form,generic,strength,manufacturer,package_container,package_size
4077,A-Cold,allopathic,Syrup,Bromhexine Hydrochloride,4 mg/5 ml,ACME Laboratories Ltd.,100 ml bottle: ৳ 40.12,Not Specified
4006,A-Cof,allopathic,Syrup,Dextromethorphan + Pseudoephedrine + Triprolidine,(10 mg+30 mg+1.25 mg)/5 ml,ACME Laboratories Ltd.,100 ml bottle: ৳ 100.00,Not Specified
6174,A-Clox,allopathic,Injection,Cloxacillin Sodium,500 mg/vial,ACME Laboratories Ltd.,"500 mg vial: ৳ 28.43,(5's pack: ৳ 142.15),",(5's pack: ৳ 142.15)
6173,A-Clox,allopathic,Injection,Cloxacillin Sodium,250 mg/vial,ACME Laboratories Ltd.,"250 mg vial: ৳ 20.00,(5's pack: ৳ 100.00),",(5's pack: ৳ 100.00)
6172,A-Clox,allopathic,Powder for Suspension,Cloxacillin Sodium,125 mg/5 ml,ACME Laboratories Ltd.,100 ml bottle: ৳ 45.00,Not Specified
6171,A-Clox,allopathic,Capsule,Cloxacillin Sodium,500 mg,ACME Laboratories Ltd.,"Unit Price: ৳ 5.98,(100's pack: ৳ 598.00),",(100's pack: ৳ 598.00)
14006,A-Care,allopathic,Tablet,Betacarotene + Vitamin C + Vitamin E,6 mg+200 mg+50 mg,Asiatic Laboratories Ltd.,"Unit Price: ৳ 2.50,(20's pack: ৳ 50.00),",(20's pack: ৳ 50.00)
3039,A-Card,allopathic,Tablet,Isosorbide Mononitrate,20 mg,ACME Laboratories Ltd.,"Unit Price: ৳ 1.43,(100's pack: ৳ 143.00),",(100's pack: ৳ 143.00)
15483,A-Calm,allopathic,Tablet,Tolperisone Hydrochloride,50 mg,ACME Laboratories Ltd.,"Unit Price: ৳ 6.00,(50's pack: ৳ 300.00),",(50's pack: ৳ 300.00)
14480,A-Cal DX,allopathic,Tablet,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+400 IU,ACME Laboratories Ltd.,"Unit Price: ৳ 7.50,(30's pack: ৳ 225.00),",(30's pack: ৳ 225.00)
14399,A-Cal D,allopathic,Tablet,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+200 IU,ACME Laboratories Ltd.,"Unit Price: ৳ 6.50,(15's pack: ৳ 97.50),,Unit Price: ৳ 6.50,(30's pack: ৳ 195.00),","(15's pack: ৳ 97.50),(30's pack: ৳ 195.00)"
14264,A-Cal,allopathic,Tablet,Calcium Carbonate,500 mg,ACME Laboratories Ltd.,"Unit Price: ৳ 5.00,(100's pack: ৳ 500.00),",(100's pack: ৳ 500.00)
13582,A-B1,allopathic,Tablet,Thiamine Hydrochloride,100 mg,ACME Laboratories Ltd.,"Unit Price: ৳ 0.86,(100's pack: ৳ 86.00),",(100's pack: ৳ 86.00)
25154,5X,allopathic,Tablet,Ulipristal Acetate [For emergency contraception],30 mg,Renata Limited,Unit Price: ৳ 200.00,Not Specified
105,5-Fluril,allopathic,IV Injection or Infusion,Fluorouracil,25 mg/ml,Techno Drugs Ltd.,"250 mg vial: ৳ 55.00,500 mg vial: ৳ 95.00",Not Specified
27661,Arubin,herbal,Capsule,Nabayas Louha Herbal Haematinic,500 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 4.00,(30's pack: ৳ 120.00),",(30's pack: ৳ 120.00)
29715,Arkid,herbal,Syrup,Aravindasav,Not Specified,ACME Laboratories Ltd.,100 ml bottle: ৳ 70.00,Not Specified
29714,Arjunacard,herbal,Syrup,Arjunarista,Not Specified,ACME Laboratories Ltd.,200 ml bottle: ৳ 90.00,Not Specified
30450,Apelin,herbal,Syrup,Malus sylvestris,Not Specified,Hamdard Bangladesh,"100 ml bottle: ৳ 60.00,450 ml bottle: ৳ 200.00",Not Specified
29646,Antiligo,herbal,Capsule,Barsina,Not Specified,Hamdard Bangladesh,"Unit Price: ৳ 3.00,(50's pack: ৳ 150.00),",(50's pack: ৳ 150.00)
31923,Anseng,herbal,Capsule,Panax Ginseng,500 mg,Aristopharma Ltd.,"Unit Price: ৳ 20.00,(30's pack: ৳ 600.00),",(30's pack: ৳ 600.00)
29754,Anjort,herbal,Capsule,St. John’s Wort,300 mg,Ibn Sina Pharmaceuticals Ltd.,"Unit Price: ৳ 4.33,(30's pack: ৳ 130.00),",(30's pack: ৳ 130.00)
29712,Amlacid,herbal,Syrup,Amalaki Rasayana,Not Specified,ACME Laboratories Ltd.,"200 ml bottle: ৳ 80.00,450 ml bottle: ৳ 150.00",Not Specified
30288,Amlabery,herbal,Syrup,Sharbat Amla,Not Specified,Drug International Ltd.,450 ml bottle: ৳ 350.00,Not Specified
29661,Amla (Hair oil),herbal,Scalp Solution,Emblic Myrobalan + Sesame,(1.66 ml+3.3 ml)/5 ml,Hamdard Bangladesh,130 ml bottle: ৳ 200.00,Not Specified
27660,AmCivit,herbal,Syrup,Emblica officinalis + Piper longum,(3.03 ml+0.12 gm)/5 ml,Square Pharmaceuticals Ltd.,100 ml bottle: ৳ 60.00,Not Specified
29645,Alvasin,herbal,Syrup,Ejaz,Not Specified,Hamdard Bangladesh,"100 ml bottle: ৳ 70.00,225 ml bottle: ৳ 140.00",Not Specified
28006,Altiver,herbal,Capsule,Ginkgo Biloba,60 mg,Kemiko Pharmaceuticals Ltd.,"Unit Price: ৳ 22.00,(20's pack: ৳ 440.00),",(20's pack: ৳ 440.00)
29711,Alovera,herbal,Tablet,Aloe indica+ Hyoscyamus niger + Piper nigrum,345 mg,ACME Laboratories Ltd.,"Unit Price: ৳ 8.00,(30's pack: ৳ 240.00),",(30's pack: ৳ 240.00)
29644,Alkuli,herbal,Syrup,Buzuri,Not Specified,Hamdard Bangladesh,"100 ml bottle: ৳ 50.00,225 ml bottle: ৳ 90.00,450 ml bottle: ৳ 140.00",Not Specified
29643,Alisa,herbal,Tablet,Garlitab,Not Specified,Hamdard Bangladesh,"Unit Price: ৳ 2.00,(50's pack: ৳ 100.00),",(50's pack: ৳ 100.00)
29868,Aliksir,herbal,Capsule,Nigella Sativa [Black Seed Oil],500 mg,Renata Limited,"Unit Price: ৳ 12.00,(30's pack: ৳ 360.00),",(30's pack: ৳ 360.00)
13947,Alfa-E,herbal,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Aristopharma Ltd.,"Unit Price: ৳ 5.00,(15's pack: ৳ 75.00),",(15's pack: ৳ 75.00)
29642,Agerd,herbal,Capsule,Tabkheer,Not Specified,Hamdard Bangladesh,"Unit Price: ৳ 3.00,(50's pack: ৳ 150.00),",(50's pack: ৳ 150.00)
29753,Afrodic,herbal,Syrup,Herbal cough syrup [Tulsi],Not Specified,Ibn Sina Pharmaceuticals Ltd.,"100 ml bottle: ৳ 50.00,200 ml bottle: ৳ 80.00",Not Specified
29752,Afrodic,herbal,Tablet,Ambar Momiyaee,Not Specified,Ibn Sina Pharmaceuticals Ltd.,"Unit Price: ৳ 15.00,(10's pack: ৳ 150.00),",(10's pack: ৳ 150.00)
27659,Adovas,herbal,Syrup,Herbal cough syrup [Adhatoda Vasica],Not Specified,Square Pharmaceuticals Ltd.,"100 ml bottle: ৳ 70.00,200 ml bottle: ৳ 105.00",Not Specified
